Date,Price
01-11-2025,17423
01-10-2025,17006
01-09-2025,15945
01-08-2025,15786
01-07-2025,16212
01-06-2025,16846
01-05-2025,15999
01-04-2025,15314
01-03-2025,14562
01-02-2025,13540
01-01-2025,14948
01-12-2024,15974
01-11-2024,15698
01-10-2024,15540
01-09-2024,16883
01-08-2024,16619
01-07-2024,16662
01-06-2024,15711
01-05-2024,14443
01-04-2024,14162
01-03-2024,13527
01-02-2024,13746
01-01-2024,13621
01-12-2023,13145
01-11-2023,12201
01-10-2023,11069
01-09-2023,11612
01-08-2023,11183
01-07-2023,10823
01-06-2023,10127
01-05-2023,9540
01-04-2023,8963
01-03-2023,8467
01-02-2023,8457
01-01-2023,8638
01-12-2022,8752
01-11-2022,8856
01-10-2022,8690
01-09-2022,8333
01-08-2022,8556
01-07-2022,8171
01-06-2022,7298
01-05-2022,7783
01-04-2022,8169
01-03-2022,8184
01-02-2022,7810
01-01-2022,8395
01-12-2021,8411
01-11-2021,8186
01-10-2021,8514
01-09-2021,8279
01-08-2021,7503
01-07-2021,7658
01-06-2021,7475
01-05-2021,7206
01-04-2021,6725
01-03-2021,6772
01-02-2021,6797
01-01-2021,6003
01-12-2020,5873
01-11-2020,5558
01-10-2020,4666
01-09-2020,4667
01-08-2020,4637
01-07-2020,4249
01-06-2020,4094
01-05-2020,3714
01-04-2020,3722
01-03-2020,3181
01-02-2020,4518
01-01-2020,4916
01-12-2019,4701
01-11-2019,4723
01-10-2019,4640
01-09-2019,4394
01-08-2019,4262
01-07-2019,4355
01-06-2019,4872
01-05-2019,4963
01-04-2019,4862
01-03-2019,5078
01-02-2019,4609
01-01-2019,4689
01-12-2018,4931
01-11-2018,4780
01-10-2018,4731
01-09-2018,4623
01-08-2018,5345
01-07-2018,5011
01-06-2018,4851
01-05-2018,5013
01-04-2018,5461
01-03-2018,4975
01-02-2018,5193
01-01-2018,5354
01-12-2017,5540
01-11-2017,5212
01-10-2017,5124
01-09-2017,4688
01-08-2017,4708
01-07-2017,4793
01-06-2017,4520
01-05-2017,4487
01-04-2017,4658
01-03-2017,4384
01-02-2017,4187
01-01-2017,3867
01-12-2016,3662
01-11-2016,3750
01-10-2016,4110
01-09-2016,3960
01-08-2016,3889
01-07-2016,3683
01-06-2016,3493
01-05-2016,3376
01-04-2016,3318
01-03-2016,3201
01-02-2016,2721
01-01-2016,3093
01-12-2015,3415
01-11-2015,3406
01-10-2015,3307
01-09-2015,3201
01-08-2015,3137
01-07-2015,3444
01-06-2015,3212
01-05-2015,3372
01-04-2015,3267
01-03-2015,3374
01-02-2015,3439
01-01-2015,3484
01-12-2014,3363
01-11-2014,3418
01-10-2014,3293
01-09-2014,3128
01-08-2014,3131
01-07-2014,3150
01-06-2014,3380
01-05-2014,3049
01-04-2014,2525
01-03-2014,2465
01-02-2014,2169
01-01-2014,2131
01-12-2013,2303
01-11-2013,2178
01-10-2013,2084
01-09-2013,1884
01-08-2013,1770
01-07-2013,1830
01-06-2013,1892
01-05-2013,2024
01-04-2013,2089
01-03-2013,1933
01-02-2013,2012
01-01-2013,2325
01-12-2012,2370
01-11-2012,2288
01-10-2012,2174
01-09-2012,2252
01-08-2012,1994
01-07-2012,2059
01-06-2012,2137
01-05-2012,1985
01-04-2012,2207
01-03-2012,2301
01-02-2012,2347
01-01-2012,2110
01-12-2011,1753
01-11-2011,1917
01-10-2011,2160
01-09-2011,2102
01-08-2011,2152
01-07-2011,2410
01-06-2011,2419
01-05-2011,2509
01-04-2011,2545
01-03-2011,2505
01-02-2011,2311
01-01-2011,2554
01-12-2010,2917
01-11-2010,2922
01-10-2010,3085
01-09-2010,3004
01-08-2010,2816
01-07-2010,2796
01-06-2010,2767
01-05-2010,2654
01-04-2010,2838
01-03-2010,2693
01-02-2010,2516
01-01-2010,2539
01-12-2009,2642
01-11-2009,2528
01-10-2009,2357
01-09-2009,2513
01-08-2009,2323
01-07-2009,2231
01-06-2009,2060
01-05-2009,2034
01-04-2009,1363
01-03-2009,1165
01-02-2009,1089
01-01-2009,1172
01-12-2008,1318
01-11-2008,1166
01-10-2008,1255
01-09-2008,1792
01-08-2008,2149
01-07-2008,2123
01-06-2008,1957
01-05-2008,2594
01-04-2008,2741
01-03-2008,2372
01-02-2008,2801
01-01-2008,2777
01-12-2007,3812
01-11-2007,3361
01-10-2007,3209
