gender,age,education,field,risk_pref
Male,29,Bachelors,IT,Moderate
Male,28,Masters,Teaching,Moderate
Female,28,Bachelors,IT,Moderate
Male,19,Bachelors,Finance,Aggressive
Male,32,Bachelors,Finance,Moderate
Male,31,Bachelors,Finance,Moderate
Male,27,Masters,Finance,Aggressive
Male,30,Masters,Teaching,Moderate
Female,37,Bachelors,Others,Moderate
Female,37,Masters,Medical,Aggressive
Male,25,Masters,Finance,Aggressive
Male,28,Bachelors,Finance,Moderate
Male,30,Bachelors,IT,Moderate
Male,23,Bachelors,IT,Aggressive
Male,32,Masters,Others,Moderate
Female,22,Bachelors,Teaching,Aggressive
Female,21,Bachelors,Finance,Aggressive
Male,26,Masters,Others,Moderate
Female,32,Masters,Medical,Aggressive
Male,23,Bachelors,Others,Aggressive
Female,24,Masters,Medical,Aggressive
Male,32,Masters,Teaching,Moderate
Male,30,Bachelors,Teaching,Moderate
Male,27,Masters,IT,Aggressive
Female,23,Bachelors,IT,Aggressive
Female,29,Bachelors,Finance,Moderate
Male,27,Bachelors,Finance,Moderate
Male,30,Masters,Finance,Aggressive
Male,29,Bachelors,Others,Moderate
Female,25,Bachelors,Medical,Aggressive
Male,27,Masters,IT,Aggressive
Male,27,Bachelors,Teaching,Moderate
Female,27,Masters,IT,Aggressive
Male,29,Masters,Finance,Aggressive
Male,37,Masters,Others,Moderate
Male,33,Bachelors,Others,Moderate
Male,25,Bachelors,Medical,Aggressive
Male,19,Bachelors,Medical,Aggressive
Female,25,Bachelors,Finance,Aggressive
Female,29,Bachelors,IT,Moderate
Male,38,Bachelors,Teaching,Moderate
Female,35,Masters,IT,Aggressive
Female,25,Bachelors,Medical,Aggressive
Male,28,Masters,Medical,Aggressive
Male,34,Masters,Finance,Aggressive
Female,28,Bachelors,Finance,Moderate
Male,23,Masters,Teaching,Aggressive
Male,30,Masters,Teaching,Moderate
Female,29,Bachelors,Medical,Moderate
Female,29,Masters,IT,Aggressive
Male,28,Masters,Teaching,Moderate
Male,27,Masters,Teaching,Moderate
Male,21,Masters,Finance,Aggressive
Female,22,Bachelors,Others,Aggressive
Female,21,Masters,Medical,Aggressive
Male,23,Bachelors,IT,Aggressive
Male,27,Bachelors,Teaching,Moderate
Male,24,Masters,Teaching,Aggressive
Female,30,Masters,Medical,Aggressive
Male,25,Bachelors,Finance,Aggressive
