Date,Price
01-08-2025,24363
01-07-2025,24768
01-06-2025,25517
01-05-2025,24751
01-04-2025,24334
01-03-2025,23519
01-02-2025,22125
01-01-2025,23508
01-12-2024,23645
01-11-2024,24131
01-10-2024,24205
01-09-2024,25811
01-08-2024,25236
01-07-2024,24951
01-06-2024,24011
01-05-2024,22531
01-04-2024,22605
01-03-2024,22327
01-02-2024,21983
01-01-2024,21726
01-12-2023,21731
01-11-2023,20133
01-10-2023,19080
01-09-2023,19638
01-08-2023,19254
01-07-2023,19754
01-06-2023,19189
01-05-2023,18534
01-04-2023,18065
01-03-2023,17360
01-02-2023,17304
01-01-2023,17662
01-12-2022,18105
01-11-2022,18758
01-10-2022,18012
01-09-2022,17094
01-08-2022,17759
01-07-2022,17158
01-06-2022,15780
01-05-2022,16585
01-04-2022,17103
01-03-2022,17465
01-02-2022,16794
01-01-2022,17340
01-12-2021,17354
01-11-2021,16983
01-10-2021,17672
01-09-2021,17618
01-08-2021,17132
01-07-2021,15763
01-06-2021,15722
01-05-2021,15583
01-04-2021,14631
01-03-2021,14691
01-02-2021,14529
01-01-2021,13635
01-12-2020,13982
01-11-2020,12969
01-10-2020,11642
01-09-2020,11248
01-08-2020,11388
01-07-2020,11073
01-06-2020,10302
01-05-2020,9580
01-04-2020,9860
01-03-2020,8598
01-02-2020,11202
01-01-2020,11962
01-12-2019,12168
01-11-2019,12056
01-10-2019,11877
01-09-2019,11474
01-08-2019,11023
01-07-2019,11118
01-06-2019,11789
01-05-2019,11923
01-04-2019,11748
01-03-2019,11624
01-02-2019,10793
01-01-2019,10831
01-12-2018,10863
01-11-2018,10877
01-10-2018,10387
01-09-2018,10930
01-08-2018,11681
01-07-2018,11357
01-06-2018,10714
01-05-2018,10736
01-04-2018,10739
01-03-2018,10114
01-02-2018,10493
01-01-2018,11028
01-12-2017,10531
01-11-2017,10227
01-10-2017,10335
01-09-2017,9789
01-08-2017,9918
01-07-2017,10077
01-06-2017,9521
01-05-2017,9621
01-04-2017,9304
01-03-2017,9174
01-02-2017,8880
01-01-2017,8561
01-12-2016,8186
01-11-2016,8225
01-10-2016,8626
01-09-2016,8611
01-08-2016,8786
01-07-2016,8639
01-06-2016,8288
01-05-2016,8160
01-04-2016,7850
01-03-2016,7738
01-02-2016,6987
01-01-2016,7564
01-12-2015,7946
01-11-2015,7935
01-10-2015,8066
01-09-2015,7949
01-08-2015,7971
01-07-2015,8533
01-06-2015,8369
01-05-2015,8434
01-04-2015,8182
01-03-2015,8491
01-02-2015,8902
01-01-2015,8809
01-12-2014,8283
01-11-2014,8588
01-10-2014,8322
01-09-2014,7965
01-08-2014,7954
01-07-2014,7721
01-06-2014,7611
01-05-2014,7230
01-04-2014,6696
01-03-2014,6704
01-02-2014,6277
01-01-2014,6090
01-12-2013,6304
01-11-2013,6176
01-10-2013,6299
01-09-2013,5735
01-08-2013,5472
01-07-2013,5742
01-06-2013,5842
01-05-2013,5986
01-04-2013,5930
01-03-2013,5683
01-02-2013,5693
01-01-2013,6035
01-12-2012,5905
01-11-2012,5880
01-10-2012,5620
01-09-2012,5703
01-08-2012,5259
01-07-2012,5229
01-06-2012,5279
01-05-2012,4924
01-04-2012,5248
01-03-2012,5296
01-02-2012,5385
01-01-2012,5199
01-12-2011,4624
01-11-2011,4832
01-10-2011,5327
01-09-2011,4943
01-08-2011,5001
01-07-2011,5482
01-06-2011,5647
01-05-2011,5560
01-04-2011,5750
01-03-2011,5834
01-02-2011,5333
01-01-2011,5506
01-12-2010,6135
01-11-2010,5863
01-10-2010,6018
01-09-2010,6030
01-08-2010,5402
01-07-2010,5368
01-06-2010,5313
01-05-2010,5086
01-04-2010,5278
01-03-2010,5249
01-02-2010,4922
01-01-2010,4882
01-12-2009,5201
01-11-2009,5033
01-10-2009,4712
01-09-2009,5084
01-08-2009,4662
01-07-2009,4636
01-06-2009,4291
01-05-2009,4449
01-04-2009,3474
01-03-2009,3021
01-02-2009,2764
01-01-2009,2875
01-12-2008,2959
01-11-2008,2755
01-10-2008,2886
01-09-2008,3921
01-08-2008,4360
01-07-2008,4333
01-06-2008,4041
01-05-2008,4870
01-04-2008,5166
01-03-2008,4735
01-02-2008,5224
01-01-2008,5137
01-12-2007,6139
01-11-2007,5763
01-10-2007,5901
01-09-2007,5021
01-08-2007,4464
01-07-2007,4529
01-06-2007,4318
01-05-2007,4296
01-04-2007,4088
01-03-2007,3822
01-02-2007,3745
01-01-2007,4083
01-12-2006,3966
01-11-2006,3955
01-10-2006,3744
01-09-2006,3588
01-08-2006,3414
01-07-2006,3143
01-06-2006,3128
01-05-2006,3071
01-04-2006,3558
01-03-2006,3403
01-02-2006,3075
01-01-2006,3001
01-12-2005,2837
01-11-2005,2652
01-10-2005,2371
01-09-2005,2601
01-08-2005,2385
01-07-2005,2312
01-06-2005,2221
01-05-2005,2088
01-04-2005,1903
01-03-2005,2036
01-02-2005,2103
01-01-2005,2058
01-12-2004,2081
01-11-2004,1959
01-10-2004,1787
01-09-2004,1746
01-08-2004,1632
01-07-2004,1632
01-06-2004,1506
01-05-2004,1484
01-04-2004,1796
01-03-2004,1772
01-02-2004,1800
01-01-2004,1810
01-12-2003,1880
01-11-2003,1615
01-10-2003,1556
01-09-2003,1417
01-08-2003,1357
01-07-2003,1186
01-06-2003,1134
01-05-2003,1007
01-04-2003,934
01-03-2003,978
01-02-2003,1063
01-01-2003,1042
01-12-2002,1094
01-11-2002,1050
01-10-2002,951
01-09-2002,963
01-08-2002,1011
01-07-2002,959
01-06-2002,1058
01-05-2002,1029
01-04-2002,1085
01-03-2002,1130
01-02-2002,1142
01-01-2002,1075
01-12-2001,1059
01-11-2001,1067
01-10-2001,972
01-09-2001,914
01-08-2001,1054
01-07-2001,1073
01-06-2001,1108
01-05-2001,1168
01-04-2001,1125
01-03-2001,1148
01-02-2001,1351
01-01-2001,1372
01-12-2000,1264
01-11-2000,1268
01-10-2000,1173
01-09-2000,1272
01-08-2000,1394
01-07-2000,1333
01-06-2000,1471
01-05-2000,1380
01-04-2000,1407
01-03-2000,1528
01-02-2000,1655
